Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1189322,ocds-dgv273-seacev3-1189322-2026-03-07T10:04:36.161608-05:00,1189322-20100257298,21205558,12352311,Alúmina y otros compuestos de aluminio,UNSPSC
ocds-dgv273-seacev3-1190991,ocds-dgv273-seacev3-1190991-2026-03-07T10:04:35.264828-05:00,1190991-10708008180,21210342,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1188452,ocds-dgv273-seacev3-1188452-2026-03-07T10:04:34.941901-05:00,1188452-20534474572,21203678,72141701,Servicio de arrendamiento o alquiler de maquinaria de construcción,UNSPSC
ocds-dgv273-seacev3-2026-2000-8,ocds-dgv273-seacev3-2026-2000-8-2026-03-07T10:04:31.984621-05:00,1187875-20550025176,21202175,80131502,Alquiler de instalaciones comerciales o industriales,UNSPSC
ocds-dgv273-seacev3-1186753,ocds-dgv273-seacev3-1186753-2026-03-07T10:04:31.865692-05:00,1186753-20613193538,21198012,76122003,Disposición final para desechos peligrosos,UNSPSC
ocds-dgv273-seacev3-1186228,ocds-dgv273-seacev3-1186228-2026-03-07T10:04:31.667986-05:00,1186228-20603563060,21199764,15101505,Diesel,UNSPSC
ocds-dgv273-seacev3-2026-200040-1,ocds-dgv273-seacev3-2026-200040-1-2026-03-07T10:04:31.612575-05:00,1186752-20607722766,21197994,15101505,Diesel,UNSPSC
ocds-dgv273-seacev3-2026-1731-32,ocds-dgv273-seacev3-2026-1731-32-2026-03-07T10:04:30.392421-05:00,1187078-20605809431,21198240,72141701,Servicio de arrendamiento o alquiler de maquinaria de construcción,UNSPSC
ocds-dgv273-seacev3-2026-1608-5,ocds-dgv273-seacev3-2026-1608-5-2026-03-07T10:04:30.345857-05:00,1186729-10032379589,21200330,15101506,Gasolina o Petróleo,UNSPSC
ocds-dgv273-seacev3-1186547,ocds-dgv273-seacev3-1186547-2026-03-07T10:04:30.035299-05:00,1186547-10454889571,21197885,30121601,Asfalto,UNSPSC
ocds-dgv273-seacev3-1191710,ocds-dgv273-seacev3-1191710-2026-03-06T10:10:20.600875-05:00,1191710-10412277169,21211878,77101805,Servicios de control de calidad ambiental,UNSPSC
