Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/position,Entrega compilada:Contratos:Artículos Contratados:Descripción,compiledRelease/contracts/0/items/0/statusDetails,compiledRelease/contracts/0/items/0/status,Entrega compilada:Contratos:Artículos Contratados:Clasificación:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Descripción,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Esquema,Entrega compilada:Contratos:Artículos Contratados:Cantidad,compiledRelease/contracts/0/items/0/totalValue/amount,compiledRelease/contracts/0/items/0/totalValue/currency,compiledRelease/contracts/0/items/0/totalValue/currencyName,Entrega compilada:Contratos:Artículos Contratados:Unidad:ID,Entrega compilada:Contratos:Artículos Contratados:Unidad:Nombre,Entrega compilada:Contratos:Artículos Contratados:Unidad:Esquema,_mes_origen
ocds-dgv273-seacev3-2026-1160-8,ocds-dgv273-seacev3-2026-1160-8-2026-03-06T10:10:08.723054-05:00,2379474,21202274,1,CAMIONETA 4X4 DOBLE CABINA INCLUIDO CONDUCTOR,Contratado,active,7811180800371310.0,SERVICIO DE ALQUILER DE CAMIONETA PICK UP CABINA DOBLE 4 X 4,CUBSO,1.0,45000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187313,ocds-dgv273-seacev3-1187313-2026-03-06T10:10:07.971559-05:00,2379305,21201112,1,ADQUISICIÓN DE COMBUSTIBLE DIESEL B5 UV Y GASOLINA REGULAR PARA EL ABASTECIMIENTO DE LAS UNIDADES VEHICULARES DE LA MUNICIPALIDAD DISTRITAL DE PIMENTEL,Contratado,active,,,,68125.0,1083187.5,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188825,ocds-dgv273-seacev3-1188825-2026-03-06T10:10:02.709011-05:00,2379354,21204450,1,SERVICIO DE ANÁLISIS MICROBIOLÓGICO EN COMPOST PARA ENSAYOS DE TOXICIDAD,Contratado,active,7017160200333482.0,SERVICIO DE ANALISIS DE LABORATORIO - BACTERIAS COLIFORMES TOTALES,CUBSO,1.0,2407.2,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-163,ocds-dgv273-seacev3-2026-1947-163-2026-03-06T10:10:02.638380-05:00,2379390,21211144,1,SERVICIO DE ACCIONES DE PROMOCIÓN ESTRATÉGICA CON ENFOQUE EN SOSTENIBILIDAD PARA EL TURISMO RECEPTIVO,Contratado,active,8210180200310221.0,SERVICIO DE ELABORACION DE CAMPAÑA DE DIFUSION,CUBSO,1.0,314425.0,USD,Dólar Norteamericano,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191902,ocds-dgv273-seacev3-1191902-2026-03-06T10:10:02.408761-05:00,2379338,21212481,43,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,18000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191268,ocds-dgv273-seacev3-1191268-2026-03-06T10:10:01.394083-05:00,2379500,21210898,1,SERVICIO DE ALQUILER DE RETROEXCAVADORA,Contratado,active,7214170100232879.0,SERVICIO DE ALQUILER DE RETROEXCAVADORA,CUBSO,2.0,54200.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188819,ocds-dgv273-seacev3-1188819-2026-03-06T10:10:00.184463-05:00,2379433,21204467,1,"CONTRATACIÓN DE LOS SERVICIOS DE UN (01) ABOGADO (A), PARA EL CONVENIO DE LA ACTIVIDAD ""GEORREFERENCIACION DEL PLANO DE DEMARCACION TERRITORIAL DE LAS COMUNIDADES NATIVAS DE LA CART (DISTRITO DE RÍO TAMBO) Y DE KANUJA (DISTRITO DE PANGOA) -SATIPO-JUN",Contratado,active,7710170500226215.0,SERVICIO DE FORMULACION DE CRITERIOS LEGALES ECONOMICOS Y AMBIENTALES,CUBSO,1.0,52000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188503,ocds-dgv273-seacev3-1188503-2026-03-06T10:10:00.012736-05:00,2379432,21203867,1,MOTOGUADAÑA DE 3.8 HP,Contratado,active,2711201400389975.0,MOTOGUADAÑA DE 2.6 HP,CUBSO,9.0,61650.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187546,ocds-dgv273-seacev3-1187546-2026-03-06T10:09:59.814418-05:00,2379478,21201107,1,DIESEL B5 S-50,Contratado,active,1510150500233280.0,DIESEL B5 S-50,CUBSO,11225.0,200927.5,PEN,Soles,13,Galon,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188420,ocds-dgv273-seacev3-1188420-2026-03-06T10:09:59.519136-05:00,2378011,21203629,1,CONSULTORIA DE OBRA PARA LA SUPERVISION Y LIQUIDACIÓN DE EJECUCIÓN DE OBRA DEL PROYECTO: ¿MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL CAMANA. DISTRITO Y PROVINCIA DE CAMANA REGION AREQUIPA¿ - CUI N° 2279710,Contratado,active,8110150800362880.0,SUPERVISION DE OBRA DE AMPLIACION DE INFRAESTRUCTURA DE SALUD,CUBSO,1.0,4005336.89,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
