Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-2026-20006-2,ocds-dgv273-seacev3-2026-20006-2-2026-05-06T10:33:12.611539-05:00,1185564,21199083,78131701,Servicios de almacenamiento a nivel de la tierra,UNSPSC
ocds-dgv273-seacev3-2026-403-1,ocds-dgv273-seacev3-2026-403-1-2026-05-06T10:33:01.058514-05:00,1185952,21199496,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-2026-10589-2,ocds-dgv273-seacev3-2026-10589-2-2026-05-02T10:08:27.572332-05:00,1185980,21199508,83121703,Servicios relacionados con Internet,UNSPSC
ocds-dgv273-seacev3-1185953,ocds-dgv273-seacev3-1185953-2026-05-02T10:08:09.117938-05:00,1185953,21199497,25101611,Camiones de transporte,UNSPSC
ocds-dgv273-seacev3-2026-755-2,ocds-dgv273-seacev3-2026-755-2-2026-05-01T10:33:45.528380-05:00,1185468,21198981,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
ocds-dgv273-seacev3-1184665,ocds-dgv273-seacev3-1184665-2026-05-01T10:33:33.911477-05:00,1184665,21195287,81101515,Ingeniería de infraestructura de plantas o instalaciones,UNSPSC
ocds-dgv273-seacev3-1209871,ocds-dgv273-seacev3-1209871-2026-04-30T10:19:56.307993-05:00,1209871,21260439,50192109,"Papas fritas en hojuelas y al hilo, mix de bocaditos o galletas saladas",UNSPSC
ocds-dgv273-seacev3-1198399,ocds-dgv273-seacev3-1198399-2026-04-30T10:19:46.373882-05:00,1198399,21228438,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
ocds-dgv273-seacev3-1185503,ocds-dgv273-seacev3-1185503-2026-04-30T10:19:44.881123-05:00,1185503,21196908,72141106,Servicios de construcción de caminos de grava o tierra,UNSPSC
ocds-dgv273-seacev3-1193066,ocds-dgv273-seacev3-1193066-2026-04-30T10:19:03.282187-05:00,1193066,21215417,72153102,Servicios de construcción de campos deportivos interiores,UNSPSC
ocds-dgv273-seacev3-1192250,ocds-dgv273-seacev3-1192250-2026-04-29T10:18:48.271915-05:00,1192250,21213362,50192109,"Papas fritas en hojuelas y al hilo, mix de bocaditos o galletas saladas",UNSPSC
ocds-dgv273-seacev3-2026-1288-1,ocds-dgv273-seacev3-2026-1288-1-2026-04-29T10:18:22.583653-05:00,1185773,21199326,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
ocds-dgv273-seacev3-1184820,ocds-dgv273-seacev3-1184820-2026-04-26T10:13:37.940104-05:00,1184820,21195606,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1185111,ocds-dgv273-seacev3-1185111-2026-04-26T10:13:30.290621-05:00,1185111,21196537,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1184813,ocds-dgv273-seacev3-1184813-2026-04-26T10:13:29.874324-05:00,1184813,21195605,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1184797,ocds-dgv273-seacev3-1184797-2026-04-26T10:13:19.101110-05:00,1184797,21195597,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1184839,ocds-dgv273-seacev3-1184839-2026-04-26T10:13:19.041323-05:00,1184839,21195612,72121406,Servicios de construcción de escuelas,UNSPSC
ocds-dgv273-seacev3-1199480,ocds-dgv273-seacev3-1199480-2026-04-26T10:13:04.923365-05:00,1199480,21231529,72141120,Servicios de construcción de líneas de alcantarillado,UNSPSC
ocds-dgv273-seacev3-1185455,ocds-dgv273-seacev3-1185455-2026-04-26T10:13:00.804089-05:00,1185455,21196904,45121516,Videocámaras o cámaras de video digitales,UNSPSC
ocds-dgv273-seacev3-1187892,ocds-dgv273-seacev3-1187892-2026-04-25T10:20:25.154064-05:00,1187892,21202212,72152605,Servicios de montaje y reparación de techos,UNSPSC
ocds-dgv273-seacev3-2026-10001-10,ocds-dgv273-seacev3-2026-10001-10-2026-04-25T10:20:13.117992-05:00,1185717,21199238,78131804,Servicios de almacenamiento de documentos,UNSPSC
