Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,compiledRelease/awards/0/items/0/position,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Descripción,compiledRelease/awards/0/items/0/statusDetails,compiledRelease/awards/0/items/0/status,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Esquema,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Cantidad,compiledRelease/awards/0/items/0/totalValue/amount,compiledRelease/awards/0/items/0/totalValue/currency,compiledRelease/awards/0/items/0/totalValue/currencyName,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Nombre,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Esquema
ocds-dgv273-seacev3-2026-200199-5,ocds-dgv273-seacev3-2026-200199-5-2026-03-25T10:13:13.225659-05:00,1185989-20553755264,21199526,1,"ADQUISICION DE ELECTROBOMBAS PARA LA OBRA REMODELACION DE ESTACION DE BOMBEO EN SAN LORENZO, DISTRITO DE BARRANCA, PROVINCIA DATEM DEL MARAÑON, DEPARTAMENTO LORETO",CONTRATADO,active,4015151300369233,ELECTROBOMBA SUMERGIBLE TRIFASICA DE 25 HP 380 V 60 L/s,CUBSO,5.0,272117.99,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-821-9,ocds-dgv273-seacev3-2026-821-9-2026-03-25T10:12:52.793328-05:00,1185295-10436391957,21198875,1,"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE LA OBRA: ""MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE EDUCACIÓN INICIAL EN I.E. 802 SECTOR MIGUEL GRAU DISTRITO DE KIMBIRI DE LA PROVINCIA DE LA CONVENCION DEL DEPARTAMENTO DE CUSC",CONTRATADO,active,8110150800362877,"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE LA OBRA: ""MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE EDUCACIÓN INICIAL EN I.E. 802 SECTOR MIGUEL GRAU DISTRITO DE KIMBIRI DE LA PROVINCIA DE LA CONVENCION DEL DEPARTAMENTO DE CUSC",CUBSO,1.0,303020.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1469-1,ocds-dgv273-seacev3-2026-1469-1-2026-03-25T10:12:42.434594-05:00,1185194-10803736460,21196662,1,ADQUISICION DE PRODUCTOS ALIMENTARIOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE PARAMONGA PARA EL AÑO FISCAL 2026,ADJUDICADO,pending,,,,1.0,299851.74,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1068-15,ocds-dgv273-seacev3-2026-1068-15-2026-03-25T10:12:42.355051-05:00,1185988-10200405396,21199527,1,"ADQUISICION DE ASFALTO PARA EL MANTENIMIENTO DE LAS VIAS PARA BACHEO DE LAS CALLES DEL DISTRITO DE HUANCAYO, PROVINCIA DE HUANCAYO - DEPARTAMENTO DE JUNIN¿.",CONTRATADO,active,,,,2.0,177600.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1080-1,ocds-dgv273-seacev3-2026-1080-1-2026-03-25T10:12:42.340085-05:00,1185349-20610615750,21198863,1,ADQUISICIÓN DE LECHE EVAPORADA ENTERA X 400 GR.  PARA EL PROGRAMA DE VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE HUANCAN PARA EL AÑO 2026.,CONTRATADO,active,5013170200307453,LECHE EVAPORADA ENTERA X 400 g  APROX.,CUBSO,20544.0,76772.93,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185254,ocds-dgv273-seacev3-1185254-2026-03-22T10:01:41.351830-05:00,1185254-20507634479,21198584,1,SERVICIO DE ENTREGA Y RECARGA DE TARJETAS DE ALIMENTACIÓN DESTINADAS A OTORGAR EL INCENTIVO DE APOYO ALIMENTARIO A FAVOR DE LOS SERVIDORES COMPRENDIDOS EN LOS REGÍMENES LABORALES DE LOS DECRETOS LEGISLATIVOS NROS. 276 Y 1057,CONTRATADO,active,8414160200392729,SERVICIO DE EMISION DE TARJETA ELECTRONICA PARA CONSUMO DE ALIMENTOS,CUBSO,1.0,411455.66,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1568-1,ocds-dgv273-seacev3-2026-1568-1-2026-03-22T10:01:32.977881-05:00,1185444-20600984838,21196888,1,ADQUISICION DE LECHE EVAPORADA EN LATAS DE 410G PARA LOS BENEFICIARIOS DEL PROGRAMA DEL VASO DE LECHE,ADJUDICADO,pending,5013170200307453,LECHE EVAPORADA ENTERA X 400 g  APROX.,CUBSO,108872.0,407181.28,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1518-3,ocds-dgv273-seacev3-2026-1518-3-2026-03-22T10:01:23.002317-05:00,1185514-1765041,21199028,1,"CONTRATACIÓN DE CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE LA OBRA: ¿MEJORAMIENTO Y AMPLIACION DEL SERVICIO DEL PUESTO DE SALUD I-1 EN LA LOCALIDAD DE SAN PEDRO DEL DISTRITO DE TAPICHE - PROVINCIA DE REQUENA - DEPARTAMENTO DE LORETO"" CON CODIGO UNICO",CONTRATADO,active,8110150800362880,SUPERVISION DE OBRA DE AMPLIACION DE INFRAESTRUCTURA DE SALUD,CUBSO,1.0,99416.7,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1518-5,ocds-dgv273-seacev3-2026-1518-5-2026-03-22T10:01:22.439560-05:00,1185489-1765039,21196917,1,"CONTRATACIÓN DE CONSULTORÍA DE OBRA PARA LA SUPERVISIÓN DE LA OBRA: ¿MEJORAMIENTO DE LOS SERVICIOS DE SALUD, DEL ESTABLECIMIENTO DE SALUD I-2 DE LA LOCALIDAD DE IBERIA DEL DISTRITO DE TAPICHE - PROVINCIA DE REQUENA - DEPARTAMENTO DE LORETO¿ CON CUI:",CONTRATADO,active,8110150800362880,SUPERVISION DE OBRA DE AMPLIACION DE INFRAESTRUCTURA DE SALUD,CUBSO,1.0,232802.2,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184972,ocds-dgv273-seacev3-1184972-2026-03-22T10:01:22.306299-05:00,1184972-1764902,21195951,2,"CONTRATACIÓN DE UNA PERSONA NATURAL Y/O JURÍDICA PARA LA EJECUCIÓN DE OBRA ""REMODELACIÓN DE RESERVORIO; EN EL(LA) SISTEMA DE RIEGO EN LA LOCALIDAD DE HUANCAYOCCASA EN EL CENTRO POBLADO OCCORO, DISTRITO DE COLCABAMBA - PROVINCIA DE TAYACAJA - DEPARTAM",CONTRATADO,active,7214112100373854,REMODELACION DE RESERVORIO,CUBSO,1.0,309380.85,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
